%time,field
1770290533013090911,41.3
1770290533053144666,42.2
1770290533113271179,39.4
1770290533133308830,38.5
1770290533173149016,41.3
1770290533253200137,41.7
1770290533273150547,38.9
1770290533293179081,38.9
1770290533333083738,44.1
1770290533433200529,43.2
1770290533473174565,42.7
1770290533492906724,44.1
1770290533553174942,43.6
1770290533573003412,40.8
1770290533633268834,40.3
1770290533673264989,39.4
1770290533713294961,38.9
1770290533733250023,41.3
1770290533893257400,39.9
1770290533953243621,41.3
1770290534013132791,42.2
1770290534093004987,42.7
1770290534112941810,38.9
1770290534133199243,43.6
1770290534213264624,42.7
1770290534253076864,40.3
1770290534273065450,42.7
1770290534313175295,38.9
1770290534353132506,42.2
1770290534393076182,40.3
1770290534433217866,41.3
1770290534473006463,38.0
1770290534493199805,38.5
1770290534513142938,43.2
1770290534573120670,42.7
1770290534633257605,44.1
1770290534653294935,41.3
1770290534693184866,39.4
1770290534713214858,42.7
1770290534733077570,39.9
1770290534793172343,41.3
1770290534853139067,39.4
1770290534893214612,40.3
1770290534973124190,43.6
1770290535093312453,38.5
1770290535113147615,39.9
1770290535153245800,41.3
1770290535193187858,43.6
1770290535233150424,41.7
1770290535253196904,39.4
1770290535273124694,38.9
1770290535333132623,38.9
1770290535413282402,39.9
1770290535453167436,38.5
1770290535553210178,39.9
1770290535573096497,40.8
1770290535633219195,43.2
1770290535653220428,40.8
1770290535712990700,41.7
1770290535733100549,39.4
1770290535773101578,41.7
1770290535793179985,38.9
1770290535833121168,39.4
1770290535853164970,42.7
1770290535913125662,38.9
1770290535933189632,44.1
1770290535953081629,40.3
1770290535992895394,38.5
1770290536012881286,38.5
1770290536033070274,39.4
1770290536073114301,42.2
1770290536093092090,42.2
1770290536233264100,38.9
1770290536253288340,44.1
1770290536293128922,41.3
1770290536313188646,41.7
1770290536333116785,41.3
1770290536373219846,39.9
1770290536393185993,37.1
1770290536453336299,41.7
1770290536473161277,38.5
1770290536533187583,43.2
1770290536553148363,42.2
1770290536592998041,41.7
1770290536613094375,41.7
1770290536633196636,41.3
1770290536672976057,42.2
1770290536692970787,43.6
1770290536753170637,43.2
1770290536773089991,40.8
1770290536853100024,43.2
1770290536933212651,42.2
