%time,field.angle,field.distance
1770290516253086966,90.0,39.4
1770290516272910845,90.0,42.7
1770290516353186848,90.0,40.3
1770290516373151207,90.0,42.7
1770290516413131997,90.0,41.3
1770290516433115883,90.0,42.7
1770290516473062348,90.0,38.9
1770290516493014646,90.0,38.0
1770290516513099440,90.0,42.2
1770290516553173995,83.9,37.1
1770290516573139698,90.0,38.9
1770290516593058536,90.0,40.8
1770290516632916970,90.0,43.2
1770290516652937337,81.0,38.0
1770290516713301368,90.0,38.5
1770290516733246866,90.0,41.3
1770290516773093394,90.0,38.9
1770290516793097152,90.0,41.3
1770290516813100388,90.0,38.5
1770290516853164896,90.0,39.9
1770290516893199994,90.0,40.3
1770290516953226485,90.0,40.8
1770290517033148401,90.0,39.9
1770290517153101632,90.0,39.4
1770290517173199405,90.0,37.5
1770290517193130990,90.0,43.2
1770290517253184837,90.0,43.6
1770290517273128297,90.0,39.4
1770290517313140985,90.0,40.8
1770290517333266483,90.0,38.5
1770290517353165145,90.0,40.8
1770290517392985851,90.0,41.7
1770290517413169868,90.0,39.4
1770290517453117220,90.0,41.7
1770290517473114155,90.0,39.4
1770290517493044348,90.0,38.0
1770290517533119830,90.0,41.3
1770290517553107683,90.0,41.3
1770290517573137208,90.0,37.5
1770290517613244241,90.0,38.9
1770290517633178068,90.0,39.9
1770290517693216630,86.2,41.7
1770290517713213898,90.0,43.6
1770290517773301959,90.0,40.3
1770290517793153538,90.0,40.3
1770290517853250093,90.0,38.9
1770290517873167183,90.0,40.3
1770290517913163767,90.0,38.0
1770290517933168522,90.0,41.7
1770290517953200603,90.0,38.9
1770290517993107724,90.0,41.7
1770290518073238108,90.0,41.7
1770290518093060335,90.0,43.2
1770290518133044628,90.0,41.7
1770290518153165672,90.0,40.3
1770290518213260351,90.0,41.7
1770290518253148699,90.0,39.4
1770290518373155616,90.0,38.9
1770290518393080065,90.0,40.8
1770290518473225997,90.0,43.6
1770290518533273445,90.0,39.4
1770290518593161379,90.0,40.8
1770290518613212574,90.0,38.9
1770290518633248428,90.0,42.7
1770290518673058635,90.0,42.7
1770290518713244417,90.0,42.2
1770290518753175711,85.4,43.6
1770290518793190268,90.0,38.5
1770290518833079110,90.0,44.1
1770290518873113592,90.0,42.2
1770290518913134770,90.0,39.4
1770290518933202638,90.0,39.9
1770290518973109030,90.0,39.9
1770290518993088732,90.0,40.8
1770290519053138429,78.5,41.7
1770290519073225831,90.0,39.9
1770290519093044345,90.0,42.7
1770290519133103347,90.0,40.3
1770290519213248279,90.0,40.3
1770290519233242619,90.0,40.3
1770290519272951918,90.0,43.2
1770290519292966217,90.0,38.0
1770290519313228386,90.0,38.5
1770290519353125923,90.0,41.3
1770290519373124118,90.0,42.2
1770290519433203238,90.0,42.2
1770290519473195916,90.0,41.7
1770290519513144265,90.0,41.7
1770290519533225001,90.0,41.7
1770290519613260403,90.0,38.0
1770290519733098973,90.0,41.3
1770290519753224749,90.0,40.8
1770290519833195255,90.0,42.2
1770290519893143357,90.0,42.7
1770290519912952942,90.0,42.7
1770290519933055424,90.0,41.7
1770290519973197238,90.0,42.2
1770290520053283971,90.0,39.9
1770290520133244169,90.0,38.0
1770290520153160141,90.0,41.7
1770290520273253457,90.0,43.2
1770290520313234415,90.0,38.5
1770290520353043257,90.0,43.6
1770290520373173425,90.0,41.3
1770290520393126146,90.0,43.6
1770290520433050252,90.0,38.5
1770290520453120290,90.0,43.6
1770290520493056329,90.0,38.5
1770290520533163531,90.0,44.6
1770290520673313052,90.0,38.5
1770290520693202830,90.0,41.3
1770290520753186315,90.0,38.9
1770290520773079896,90.0,42.7
1770290520813121120,90.0,39.9
1770290520832928358,90.0,40.8
1770290520873005485,90.0,38.9
1770290520892918518,90.0,39.9
